learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,accuracy,macro_f1,weighted_f1,roc_auc,readmitted_precision,readmitted_recall,readmitted_f1
0.05,300,31,100,1.0,0.6486194359830991,0.6409961563365993,0.6450879504017469,0.7023110859282448,0.6391907081303859,0.5455708346658139,0.5886818495514148
0.05,300,31,50,1.0,0.6485703055910386,0.640972199506066,0.6450573683298675,0.7022093690773954,0.6390414378432352,0.5457840315531394,0.5887425975967343
0.03,300,31,50,1.0,0.6475385673577675,0.6401941476551303,0.6442148891154462,0.7029593031661778,0.6368257904525728,0.5474896066517428,0.5887882609194085
0.08,250,31,50,1.0,0.6473420457895254,0.6401881986408241,0.644156465073135,0.7036902597593168,0.6359373071701839,0.5493017801940092,0.5894532143674216
0.05,300,63,50,1.0,0.6464085683403754,0.6397116240660423,0.6435536187632453,0.7025498419612255,0.6332032202976335,0.5533525210531927,0.5905910461345925
0.05,200,31,50,0.0,0.6467033506927385,0.6388738718087983,0.6430328742723395,0.7026463226359032,0.6372868605817452,0.5418398891376186,0.5857002938295789
0.05,250,15,50,1.0,0.6472437850054044,0.6386550677380008,0.6430123774542872,0.7017851173748147,0.6404594767070836,0.5349109902995416,0.5829460966542751
